Keyword,Date,Blended Rank,Organic Rank,URL,Domain,Packs,CONTENT,AUTHORITY,TECHNICAL,Title Score,Body Content Score,H1 Score,Meta Description Score,H2 Score,URL Score,Number of backlinks,Referring pages to referring domain ratio,Ahrefs URL rating,Backlinks with non-empty textual anchor text (%),Dofollow backlinks (%),Referring Class c networks to referring domain ratio,Referring IP to referring domain ratio,Backlinks with URL as anchor text (%),Backlinks with generic anchor text (%),Backlinks with redirects (%),Internal Links on Page (%),Backlinks from edu domains (%),Backlinks from gov domains (%),Rel alternate on page,Self canonical on page,Page size (kb),Largest Contentful Paint (sec),First Input Delay (ms),Cumulative Layout Shift,Time To First Byte (sec),First Contentful Paint (sec),Total Blocking Time (sec),Time To Interactive (sec),Ahrefs domain rating,HTTPS on page,Backlink Content Relevance,Keyword Occurrence in backlinks anchor texts (%)
auto insurance,2022-01-20,1,,,,local 3 pack,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
auto insurance,2022-01-20,3,1,https://www.progressive.com/,https://www.progressive.com/,,3.22,6.47,4.0,0.39,0.87,0.04,0.9,0.88,0.0,414453,28.16,85,100.0,61.59,0.38,0.64,0.0,0.0,0.03,84.63,0.05,0.04,False,False,380,1.13,4,0.0,2.09,0.58,0.17,2.19,84,True,0.76,0.0
auto insurance,2022-01-20,4,2,https://www.directauto.com/,https://www.directauto.com/,,5.63,9.88,5.8,0.87,0.85,0.0,0.92,0.0,0.22,15162,11.16,57,100.0,27.62,0.71,1.0,0.0,0.0,0.06,77.59,0.34,0.0,False,True,59,,,,,,,,52,True,0.93,0.0
auto insurance,2022-01-20,5,3,https://www.allstate.com/auto-insurance.aspx,https://www.allstate.com/,,6.88,9.54,5.24,0.66,0.92,0.54,0.94,0.86,0.66,11734,9.63,55,100.0,37.36,0.64,0.99,0.0,0.0,0.01,78.51,0.07,0.03,False,True,185,1.91,21,0,2.46,0.56,1.23,4.54,84,True,0.94,100.0
auto insurance,2022-01-20,6,4,https://www.geico.com/,https://www.geico.com/,,4.29,4.84,6.25,0.43,0.89,0.47,0.94,0.86,0.0,1497094,143.0,85,100.0,83.26,0.53,0.9,0.0,0.0,0.02,82.89,0.01,0.01,False,True,149,3.34,2,0.0,1.18,0.9,0.16,3.16,80,True,0.02,0.0
auto insurance,2022-01-20,7,5,https://www.farmers.com/,https://www.farmers.com/,,0.0,6.62,0.0,0.03,0.0,0.05,0.0,0.0,0.0,324226,52.4,83,100.0,37.55,0.53,0.84,100.0,0.0,0.02,89.84,0.04,0.01,False,False,0,2.51,3,0,0.61,1.43,0.06,3.44,81,True,0.0,0.0
auto insurance,2022-01-20,8,6,https://www.farmers.com/auto/,https://www.farmers.com/,,6.19,6.13,6.4,0.7,0.85,1.0,0.9,0.85,0.3,4567,7.94,49,0,29.71,0.73,1.0,0,0,0.0,92.67,0.04,0.0,False,True,135,3.44,9,0,0.9,0.84,0.25,3.74,81,True,0.0,0
auto insurance,2022-01-20,9,7,https://www.stateauto.com/,https://www.stateauto.com/,,0.86,8.4,2.17,0.53,0.7,0.13,0.0,0.58,0.22,9036,4.89,56,0,41.06,0.46,0.66,0,0,0.01,,0.12,0.0,False,False,72,,10,,1.59,1.7,0.03,2.2,74,True,0.0,0
auto insurance,2022-01-20,11,8,https://www.esurance.com/,https://www.esurance.com/,,1.33,5.84,0.0,0.69,0.37,0.0,0.0,0.0,0.0,75898,31.31,78,100.0,79.2,0.55,0.92,100.0,0.0,0.1,,0.01,0.02,False,False,1,0.24,6,0,0.75,0.24,0.0,0.24,73,True,0.0,0.0
auto insurance,2022-01-20,12,9,https://www.thezebra.com/car-insurance-quotes/,https://www.thezebra.com/,,3.7,5.94,8.31,0.38,0.88,0.46,0.91,0.63,0.3,8883,17.7,47,100.0,6.14,0.69,1.0,0.0,0.0,0.0,93.65,0.01,0.0,False,True,363,1.2,5,0.09,0.39,0.58,0.02,2.15,76,True,0.69,0.0
auto insurance,2022-01-20,13,10,https://www.aisinsurance.com/,https://www.aisinsurance.com/,,3.12,6.86,0.51,0.44,0.84,0.44,0.87,0.86,0.22,3095,4.94,48,100.0,22.04,0.64,0.87,100.0,0.0,0.0,72.16,0.13,0.0,False,False,94,3.02,4,0.01,3.57,0.86,0.24,4.79,39,True,0.0,0.0
auto insurance,2022-01-20,121,121,https://www.allstate.com,https://www.allstate.com/,,1.4,6.15,2.86,0.4,0.4,0.06,0.87,0.0,0.0,603894,53.27,85,100.0,42.65,0.48,0.81,0.0,0.0,0.01,78.08,0.06,0.02,False,False,164,3.08,18,0,2.04,0.95,1.05,3.74,84,True,0.03,0.0
